branch,samples,seed,selectivity,parallelism,read_ios,write_ios,hit_rate
pbm1,,19740,0.1,24,186290426.0,5677.0,0.5093538421791637
pbm2,20,9774,0.1,12,123083069.0,3476.0,0.6084784012772368
pbm1,,3636,0.1,24,188077319.0,10817.0,0.49979741188442256
pbm2,20,4448,0.1,24,177072512.0,7563.0,0.6759534226759664
pbm2,20,9774,0.1,24,175943890.0,10183.0,0.6714340677865338
pbm3,10,4448,0.1,24,196039145.0,2840.0,0.5293081275257686
pbm3,10,19740,0.1,24,208263534.0,9214.0,0.46420631810966967
pbm1,,4448,0.1,12,132997236.0,7760.0,0.40860356202490755
pbm2,20,19357,0.1,12,117888511.0,4222.0,0.616683913522717
pbm3,20,19357,0.1,24,208494999.0,10177.0,0.44926392129288817
base,,9774,0.1,24,196052675.0,3771.0,0.5192563242765916
pbm3,10,19357,0.1,12,140950720.0,8558.0,0.4091861743829919
pbm3,20,3636,0.1,12,144983210.0,6329.0,0.3856428888080186
pbm3,20,4448,0.1,24,203020734.0,9451.0,0.47259148810851626
pbm2,20,19357,0.1,24,174775104.0,7379.0,0.6817889735432016
pbm2,1,3636,0.1,24,218289713.0,8822.0,0.44118029850483925
pbm2,1,19740,0.1,24,217011194.0,6362.0,0.45943157254744726
pbm2,10,9774,0.1,24,186141051.0,3920.0,0.6501717065135617
base,,3636,0.1,12,135196463.0,4674.0,0.42763931096753477
pbm2,10,9774,0.1,12,127822902.0,4406.0,0.5891962600236976
base,,4448,0.1,24,194872755.0,6089.0,0.5223168732115889
pbm2,20,3636,0.1,12,120491334.0,5057.0,0.6194384440806392
base,,9774,0.1,12,134835774.0,4136.0,0.4295874671098984
pbm2,1,3636,0.1,12,156050657.0,11213.0,0.3751296592154159
pbm2,10,4448,0.1,24,184745238.0,10795.0,0.6483750720451922
base,,19357,0.1,24,202227900.0,8735.0,0.4706237238208232
pbm2,20,19740,0.1,24,173869046.0,3428.0,0.6901524811152545
pbm3,10,19357,0.1,24,207007341.0,5460.0,0.4699310999271476
base,,4448,0.1,12,134970368.0,2616.0,0.4313974880247701
pbm2,1,19357,0.1,12,157971803.0,6200.0,0.3622513240425315
pbm1,,9774,0.1,24,189103266.0,3068.0,0.5049118113612194
pbm2,10,19740,0.1,24,184018669.0,3978.0,0.6545485018583465
pbm2,10,19357,0.1,24,184932155.0,5822.0,0.6558544954678056
pbm2,1,9774,0.1,24,218892213.0,10899.0,0.4527067813621068
base,,3636,0.1,24,197164756.0,10018.0,0.5006999773858265
pbm3,10,9774,0.1,12,139983196.0,4806.0,0.4320928649518643
pbm2,1,19357,0.1,24,216492684.0,3683.0,0.44596012074688823
pbm2,20,3636,0.1,24,175008760.0,16832.0,0.6852832873868985
pbm1,,9774,0.1,12,129553872.0,4088.0,0.42374397799824487
pbm2,10,3636,0.1,24,182133509.0,6903.0,0.6672593949016801
pbm2,20,19740,0.1,12,123750670.0,3933.0,0.586590802345363
pbm3,10,4448,0.1,12,146882679.0,8140.0,0.393170153512439
base,,19357,0.1,12,132347437.0,4858.0,0.4322880547449064
pbm2,20,4448,0.1,12,117528686.0,3732.0,0.6289958289743467
pbm3,10,9774,0.1,24,203762708.0,7815.0,0.484795443860041
pbm2,10,3636,0.1,12,127305777.0,8060.0,0.5816578188931727
pbm2,10,4448,0.1,12,125186000.0,2515.0,0.6101210149619571
pbm3,20,4448,0.1,12,141226945.0,9069.0,0.3884856902285541
pbm3,20,19357,0.1,12,142545708.0,3893.0,0.3966456918026604
pbm1,,19357,0.1,24,188914876.0,4725.0,0.4930027876050819
pbm2,1,4448,0.1,24,218339615.0,14222.0,0.4591306274815445
pbm3,20,9774,0.1,12,137647855.0,3289.0,0.4365615214445816
pbm1,,3636,0.1,12,134000971.0,7399.0,0.37415008197880884
pbm1,,19357,0.1,12,130163477.0,14494.0,0.4277975373666694
pbm2,1,19740,0.1,12,157497817.0,2897.0,0.3713625946613478
pbm2,10,19740,0.1,12,125420216.0,4909.0,0.6140730725815984
pbm3,20,19740,0.1,24,203190958.0,6905.0,0.4631362770433985
pbm3,10,3636,0.1,12,143274178.0,7509.0,0.40460295624865905
pbm2,1,4448,0.1,12,158082603.0,4009.0,0.35279255880376525
pbm2,10,19357,0.1,12,123249463.0,10938.0,0.6046960677235927
pbm3,20,9774,0.1,24,202074976.0,2123.0,0.4805423350594556
pbm3,10,3636,0.1,24,207751143.0,4107.0,0.4644773038754519
pbm1,,4448,0.1,24,190380069.0,16462.0,0.4757736364707325
base,,19740,0.1,24,201448132.0,6689.0,0.4795012672055321
pbm3,20,3636,0.1,24,210101988.0,3525.0,0.4556273901504465
pbm2,1,9774,0.1,12,152181754.0,4403.0,0.3969904058748701
pbm1,,19740,0.1,12,132499794.0,6997.0,0.3921875267212496
pbm3,20,19740,0.1,12,142457925.0,9347.0,0.37100556335221696
pbm3,10,19740,0.1,12,143115875.0,7451.0,0.40087977380389
base,,19740,0.1,12,137743664.0,7611.0,0.41305206408646206
