branch,samples,seed,selectivity,parallelism,read_ios,write_ios,hit_rate
base,,24267,0.1,24,201141682.0,9443.0,0.48964704086728966
pbm2,20,9774,0.05,24,187225263.0,6036.0,0.658425637372726
base,,5786,0.05,24,209558516.0,5490.0,0.43280896192610097
pbm2,1,3636,0.05,24,222996849.0,7468.0,0.4432968065779858
base,,24267,0.05,24,209218621.0,5405.0,0.445674819189349
pbm2,10,3636,0.05,24,192148759.0,6505.0,0.6506180878544543
base,,19740,0.05,24,210815243.0,11557.0,0.4287878835544821
pbm2,1,24267,0.3,24,107110003.0,5246.0,0.6055416210706318
pbm2,10,24267,0.05,24,190165960.0,7042.0,0.6409045022250782
pbm2,10,24267,0.3,24,92969108.0,7135.0,0.663990683713886
base,,3636,0.05,24,208007574.0,5699.0,0.4465275954072839
base,,5786,0.3,24,78418244.0,6283.0,0.5441302263781316
base,,24267,0.3,24,90203731.0,7067.0,0.5365418736826281
pbm2,10,5786,0.1,24,183048386.0,9614.0,0.6649893759031948
pbm2,10,3636,0.3,24,102011707.0,4072.0,0.6773441310555302
base,,3636,0.3,24,92644323.0,5573.0,0.5379004124949246
pbm2,1,19740,0.05,24,220409396.0,6507.0,0.444263415877151
base,,3636,0.1,24,202204244.0,6536.0,0.46515613617320833
pbm2,20,24267,0.05,24,188506521.0,4257.0,0.6538951703712311
base,,9774,0.05,24,210291774.0,8288.0,0.42253605509945247
pbm2,1,5786,0.05,24,226839030.0,8125.0,0.40555600953648774
pbm2,20,3636,0.05,24,187053398.0,4028.0,0.6547591459356356
pbm2,1,9774,0.05,24,223852924.0,4480.0,0.4275799171601353
pbm2,10,24267,0.1,24,183921050.0,3099.0,0.6627376654612107
pbm2,1,3636,0.3,24,105862060.0,3425.0,0.6005217568317355
pbm2,1,24267,0.05,24,223362429.0,2853.0,0.42845520202513443
pbm2,1,24267,0.1,24,211493289.0,4752.0,0.4871142180720315
pbm2,20,5786,0.05,24,185374584.0,4419.0,0.6676203115271286
pbm2,10,5786,0.3,24,101771297.0,3342.0,0.6905980609615403
pbm2,1,5786,0.1,24,216488186.0,7070.0,0.45940897197510927
pbm2,10,3636,0.1,24,184735649.0,4995.0,0.6679515530766017
pbm2,1,3636,0.1,24,218871339.0,3043.0,0.43879273530861196
pbm2,1,5786,0.3,24,102669815.0,4184.0,0.5827696874232541
pbm2,10,19740,0.05,24,190255728.0,9577.0,0.6497267143514576
pbm2,10,5786,0.05,24,189712746.0,5978.0,0.6504081558388807
base,,5786,0.3,24,94131321.0,10162.0,0.5862139957632962
base,,5786,0.1,24,198073497.0,4957.0,0.5075010875652428
pbm2,20,19740,0.05,24,186355389.0,5431.0,0.6572218086037447
pbm2,10,9774,0.05,24,194893968.0,3342.0,0.6260466709242258
