experiment,dir,branch,block size,block_group_size,workload,scalefactor,selectivity,clustering,indexes,shared_buffers,work_mem,synchronize_seqscans,pbm_evict_num_samples,pbm_bg_naest_max_age,pbm_evict_num_victims,pbm_evict_use_freq,pbm_evict_use_idx_scan,pbm_idx_scan_num_counts,pbm_lru_if_not_requested,parallelism,time,count_multiplier,prewarm,seed,query_order_randomized,read_ios,read_merges,sectors_read,read_ticks,write_ios,write_merges,sectors_written,write_ticks,in_flight,io_ticks,time_in_queue,discard_ios,discard_merges,discard_sectors,discard_ticks,flush_ios,flush_ticks,Throughput (requests/second),Goodput (requests/second),Benchmark Runtime (nanoseconds),Average Latency (microseconds),Maximum Latency (microseconds),99th Percentile Latency (microseconds),95th Percentile Latency (microseconds),90th Percentile Latency (microseconds),75th Percentile Latency (microseconds),Median Latency (microseconds),25th Percentile Latency (microseconds),Minimum Latency (microseconds),average_stream_s,max_stream_s,heap_blks_hit,heap_blks_read,idx_blks_hit,idx_blks_read,db_active_time,db_blk_read_time,db_blks_hit,db_blks_read,lineitem_heap_blks_hit,lineitem_heap_blks_read,lineitem_idx_blks_hit,lineitem_idx_blks_read,hit_rate,lineitem_hit_rate,data_read_gb,data_processed_gb
parallelism_micro_seqscans_ALT_1,TPCH_2024-10-08_08-09-03,base,8,1024,micro_w,100,0.3,dates,lineitem_brinonly,37000MB,4MB,on,,,,,,,,1,900,,True,5786,,1006522,42944,498884296,3929165,1827,18,219912,3538,0,700312,3932704,0,0,0,0,0,0,0.005555552886890171,0.007777774041646239,900000432324,138822370,198061517,198061517,198061517,198061517,198026741,110630393,104397504,82995697,694.111852,694.111852,9952993,31113253,5232,1960,913488.799,1298699.409,9968960.0,31115455.0,9952993,31113253,5232,1960,0.24244926855161236,0.24244926855161236,237.3902359008789,313.36546325683594
parallelism_micro_seqscans_ALT_1,TPCH_2024-10-08_08-27-43,pbm1,8,1024,micro_w,100,0.3,dates,lineitem_brinonly,37000MB,4MB,on,,,,,,,,1,900,,True,5786,,774456,29177,757979040,10912645,2224,12,278512,15337,0,843644,10927982,0,0,0,0,0,0,0.0044444433169286805,0.006666664975393022,900000228322,152331052,230217651,230217651,230217651,230217651,230217651,223576994,77968522,77561042,609.324209,609.324209,5215389,47357423,630,2250,1061067.528,1415650.506,5226733.0,47360499.0,5215389,47357423,630,2250,0.09920970702582478,0.09920970702582478,361.3256301879883,401.1206970214844
parallelism_micro_seqscans_ALT_1,TPCH_2024-10-08_08-48-48,pbm2,8,1024,micro_w,100,0.3,dates,lineitem_brinonly,37000MB,4MB,on,1,10,,,,,,1,900,,True,5786,,2217891,16313,585943064,6352240,3219,24,292704,14207,0,805300,6366446,0,0,0,0,0,0,0.0022197562856193535,0.004439512571238707,900999813789,228859655,234368790,234368790,234368790,234368790,234368790,234368790,223350520,223350520,457.71931,457.71931,5667471,31873802,315,1126,936298.628,1404876.477,5678093.0,31875663.0,5667471,31873802,315,1126,0.15096900026993254,0.15096900026993254,243.1864013671875,286.4281768798828
parallelism_micro_seqscans_ALT_1,TPCH_2024-10-08_09-07-56,pbm2,8,1024,micro_w,100,0.3,dates,lineitem_brinonly,37000MB,4MB,on,10,10,1,,,,,1,900,,True,5786,,4282313,13465,435286600,4252911,2838,12,292656,6208,0,940204,4259119,0,0,0,0,0,0,0.0033333309965905274,0.005555551660984212,900000630921,205244934,251383573,251383573,251383573,251383573,251383573,184224204,180127025,180127025,615.734802,615.734802,13624076,20215418,1514,2802,996786.666,1626371.143,13637317.0,20219127.0,13624076,20215418,1514,2802,0.4026021301975162,0.4026021301975162,154.25277709960938,258.20777893066406
parallelism_micro_seqscans_ALT_1,TPCH_2024-10-08_09-27-57,pbm2,8,1024,micro_w,100,0.3,dates,lineitem_brinonly,37000MB,4MB,on,100,10,1,,,,,1,900,,True,5786,,1271160,17169,585512336,4945266,2389,20,267032,7095,0,853276,4952361,0,0,0,0,0,0,0.002222220867534159,0.004444441735068318,900000548649,239579961,242784369,242784369,242784369,242784369,242784369,242784369,236375554,236375554,479.159923,479.159923,18259194,26759762,0,4,970318.074,1036461.516,18270467.0,26760905.0,18259194,26759762,0,4,0.4055889785103876,0.4055889785103876,204.1608123779297,343.4674072265625
parallelism_micro_seqscans_ALT_1,TPCH_2024-10-08_09-47-32,pbm3,8,1024,micro_w,100,0.3,dates,lineitem_brinonly,37000MB,4MB,on,10,10,1,,,,,1,900,,True,5786,,2624336,18012,556600800,6503639,3091,12,281408,10454,0,910556,6514094,0,0,0,0,0,0,0.002222220472107551,0.004444440944215102,900000708797,256041046,256540996,256540996,256540996,256540996,256540996,256540996,255541097,255541097,512.082093,512.082093,12289598,25251675,317,1124,980727.531,1465505.472,12302747.0,25253409.0,12289598,25251675,317,1124,0.3273581925909778,0.3273581925909778,192.66356658935547,286.4281768798828
parallelism_micro_seqscans_ALT_1,TPCH_2024-10-08_10-07-18,pbm3,8,1024,micro_w,100,0.3,dates,lineitem_brinonly,37000MB,4MB,on,100,10,1,,,,,1,900,,True,5786,,3806780,11963,346648648,4364082,2583,12,263176,5758,0,858608,4369840,0,0,0,0,0,0,0.004444440865879425,0.006666661298819137,900000724660,158424642,233286566,233286566,233286566,233286566,233286566,226673111,107068019,66670875,633.698571,633.698571,19526924,18089146,3385,2369,917956.858,1268129.774,19544883.0,18092158.0,19526924,18089146,3385,2369,0.519121800155144,0.519121800155144,138.02730560302734,287.03173828125
parallelism_micro_seqscans_ALT_1,TPCH_2024-10-08_10-26-00,base,8,1024,micro_w,100,0.3,dates,lineitem_brinonly,37000MB,4MB,on,,,,,,,,4,900,,True,5786,,2656860,64560,949133248,25873832,2794,21,295000,38360,0,985672,25912193,0,0,0,0,0,0,0.006666663467105239,0.015555548089912224,900000431941,294485979,396683110,396683110,396683110,396683110,320753588,300383501,247857408,245869704,441.7289695,568.610996,41201491,64016818,7276,2796,3887204.804,6051916.686,41230527.0,64020328.0,41201491,64016818,7276,2796,0.3916126676889574,0.3916126676889574,488.43089294433594,802.8288345336914
parallelism_micro_seqscans_ALT_1,TPCH_2024-10-08_10-45-54,pbm1,8,1024,micro_w,100,0.3,dates,lineitem_brinonly,37000MB,4MB,on,,,,,,,,4,900,,True,5786,,1388972,36965,1069463232,18136622,4568,18,352336,34328,0,1078456,18170950,0,0,0,0,0,0,0.015538293650853383,0.024417318594198177,900999833996,181393022,237025389,237025389,237025389,236960439,215219110,204698527,133278809,61908569,634.87557825,692.026221,114576627,65400068,5603,7348,4218420.176,4678207.247,114608983.0,65409025.0,114576627,65400068,5603,7348,0.6366045633536054,0.6366045633536054,499.01898193359375,1373.2120208740234
parallelism_micro_seqscans_ALT_1,TPCH_2024-10-08_11-08-15,pbm2,8,1024,micro_w,100,0.3,dates,lineitem_brinonly,37000MB,4MB,on,1,10,,,,,,4,900,,True,5786,,5456986,53105,974050704,14780440,9801,17,420904,27316,0,1215752,14807755,0,0,0,0,0,0,0.0033333317325229908,0.0122222163525843,900000432219,322453040,345266475,345266475,345266475,345266475,345266475,332227087,289865558,289865558,241.83978,635.132033,41024334,45386724,4039,3156,4520428.002,6850684.907,41050984.0,45391396.0,41024334,45386724,4039,3156,0.4747651286123546,0.4747651286123546,346.29730224609375,659.3189468383789
