branch,samples,seed,selectivity,parallelism,read_ios,write_ios,hit_rate
pbm1,,15930,0.1,32,126857453.0,7566.0,0.5244634438485373
pbm2,20,9774,0.1,128,196828099.0,10888.0,0.8349831652682569
pbm1,,4448,0.1,128,174343412.0,18526.0,0.7445448948825582
base,,15930,0.1,32,121156888.0,9206.0,0.5194334489809495
pbm2,20,9774,0.1,64,177945313.0,14215.0,0.7726526468487792
pbm2,1,3636,0.1,128,221014095.0,7508.0,0.7123045772576962
base,,19740,0.1,32,127834538.0,9612.0,0.4988733420442802
pbm2,1,4448,0.1,32,168613022.0,13298.0,0.474311556658045
pbm2,10,4448,0.1,64,181361304.0,14679.0,0.7564115037379397
pbm2,1,19740,0.1,64,206306909.0,9767.0,0.6227131259123662
pbm2,10,19740,0.1,128,175676599.0,9294.0,0.8164650650708477
pbm2,20,3127,0.1,64,173403653.0,6915.0,0.7880417351202083
pbm1,,3636,0.1,64,164512558.0,6168.0,0.6616565978503933
pbm1,,19357,0.1,32,125165690.0,13920.0,0.5411187491911972
pbm2,20,19357,0.1,128,179849991.0,6171.0,0.827759710308113
base,,3127,0.1,32,123108909.0,6488.0,0.5240376878193382
base,,19357,0.1,128,177735757.0,7347.0,0.6734285730806967
base,,4448,0.1,64,167420608.0,11867.0,0.6004806097346743
pbm2,1,4448,0.1,128,221334979.0,10474.0,0.7196109099228238
pbm2,20,19740,0.1,64,166545875.0,8179.0,0.7762682756372288
base,,4448,0.1,128,200147240.0,8747.0,0.6629182545051001
pbm2,10,3127,0.1,64,175788339.0,12837.0,0.775631957462593
pbm2,10,4448,0.1,128,199062663.0,22934.0,0.8177888357274365
pbm2,20,19357,0.1,32,126481377.0,10941.0,0.7302167477676481
pbm2,10,15930,0.1,32,139742498.0,9438.0,0.6936803481646947
pbm2,1,3636,0.1,64,192702255.0,8778.0,0.6033680572772633
pbm1,,3127,0.1,64,163747824.0,8076.0,0.6655110168125138
pbm2,10,15930,0.1,64,183051779.0,7144.0,0.7543089107508102
pbm1,,19740,0.1,64,171100808.0,10841.0,0.655717402326846
base,,19740,0.1,128,191778265.0,8461.0,0.7044658496203184
pbm2,10,4448,0.1,32,134558322.0,8609.0,0.7127211601217313
pbm1,,3636,0.1,32,133161443.0,5586.0,0.5407459104785166
pbm2,1,9774,0.1,64,208189028.0,16577.0,0.6165083980343008
base,,19740,0.1,64,168480366.0,7026.0,0.5782222381854528
pbm1,,19357,0.1,64,166722830.0,8864.0,0.6449533159777658
pbm2,20,3127,0.1,32,126837738.0,10626.0,0.7199987404652365
base,,3636,0.1,32,126559858.0,10307.0,0.4741247254893973
pbm1,,19357,0.1,128,167515718.0,19682.0,0.76092045205077
pbm2,1,9774,0.1,32,157668664.0,14170.0,0.46684524530276167
pbm1,,9774,0.1,32,127105930.0,11389.0,0.5558706619007809
pbm2,10,3636,0.1,32,143223938.0,6391.0,0.6877782259071542
pbm1,,3127,0.1,32,124216683.0,9720.0,0.5453641740596861
pbm2,1,19357,0.1,32,163840704.0,9724.0,0.5031859430269038
pbm2,1,19357,0.1,64,212201953.0,9347.0,0.6009593609693932
pbm2,20,4448,0.1,128,172808885.0,22408.0,0.8190752834789675
pbm1,,4448,0.1,64,168344244.0,13700.0,0.6591347948764128
pbm2,1,19740,0.1,128,215486751.0,8398.0,0.7205054271848519
pbm2,1,9774,0.1,128,215626716.0,8486.0,0.7281882916943612
pbm2,20,3636,0.1,128,191331341.0,12331.0,0.8197588702959876
pbm2,1,19740,0.1,32,160773119.0,8702.0,0.5132431451596507
pbm2,1,19357,0.1,128,219906346.0,16447.0,0.7052109147975094
pbm2,10,3636,0.1,64,171963551.0,6596.0,0.7682347515335655
pbm2,1,4448,0.1,64,206694899.0,14638.0,0.6207615422711432
pbm2,20,15930,0.1,32,130795995.0,7486.0,0.7348464945076086
pbm1,,4448,0.1,32,126828901.0,8995.0,0.5493250194077834
pbm2,10,19357,0.1,128,196278223.0,12679.0,0.828471353899367
pbm1,,15930,0.1,64,171288255.0,10960.0,0.6384353465911842
pbm1,,19740,0.1,32,122423902.0,11366.0,0.5675861941210819
pbm2,20,19740,0.1,32,130417539.0,12756.0,0.7253239613751762
pbm2,20,3636,0.1,32,134774249.0,8357.0,0.7278113462524958
pbm1,,3636,0.1,128,182084521.0,8337.0,0.7443047933033909
base,,9774,0.1,32,123677699.0,10788.0,0.5157356090975006
base,,3636,0.1,64,166878866.0,7368.0,0.5799670310122468
pbm2,10,9774,0.1,32,140204450.0,11576.0,0.7079426698183082
